CELL5M,PSH_ID
3328485,2
3328486,2
3332804,2
3332805,2
3332806,2
3332807,2
3337123,2
3337124,2
3337125,2
3337126,2
3337127,2
3341442,2
3341443,2
3341444,2
3341445,2
3341446,2
3341447,2
3345761,2
3345762,2
3345763,2
3345764,2
3345765,2
3345766,2
3345767,2
3345768,2
3345769,2
3345770,2
3345771,2
3345772,2
3350079,2
3350080,2
3350081,2
3350082,2
3350083,2
3350084,2
3350085,2
3350086,2
3350087,2
3350088,2
3350089,2
3350090,2
3350091,2
3350092,2
3350093,2
3350094,2
3354398,2
3354399,2
3354400,2
3354401,2
3354402,2
3354403,2
3354404,2
3354405,2
3354406,2
3354407,2
3354408,2
3354409,2
3354410,2
3354411,2
3354412,2
3354413,2
3354414,2
3354415,2
3358719,2
3358720,2
3358721,2
3358722,2
3358723,2
3358724,2
3358725,2
3358726,2
3358727,2
3358728,2
3358729,2
3358730,2
3358731,2
3358732,2
3358733,2
3358734,2
3358735,2
3358736,2
3358737,2
3363041,2
3363042,2
3363043,2
3363044,2
3363045,2
3363046,2
3363047,2
3363048,2
3363049,2
3363050,2
3363051,2
3363052,2
3363053,2
3363054,2
3363055,2
3363056,2
3363057,2
3363058,2
3363059,2
3367362,2
3367363,2
3367364,2
3367365,2
3367366,2
3367367,2
3367368,2
3367369,2
3367370,2
3367371,2
3367372,2
3367373,2
3367374,2
3367375,2
3367376,2
3367377,2
3367378,2
3367379,2
3371684,2
3371685,2
3371686,2
3371687,2
3371688,2
3371689,2
3371690,2
3371691,2
3371692,2
3371693,2
3371694,2
3371695,2
3371696,2
3371697,2
3371698,2
3371699,2
3371700,2
3371701,2
3371702,2
3376005,2
3376006,2
3376007,2
3376008,2
3376009,2
3376010,2
3376011,2
3376012,2
3376013,2
3376014,2
3376015,2
3376016,2
3376017,2
3376018,2
3376019,2
3376020,2
3376021,2
3376022,2
3376023,2
3380326,2
3380327,2
3380328,2
3380329,2
3380330,2
3380331,2
3380332,2
3380333,2
3380334,2
3380335,2
3380336,2
3380337,2
3380338,2
3380339,2
3380340,2
3380341,2
3380342,2
3380343,2
3380344,2
3380345,2
3384648,2
3384649,2
3384650,2
3384651,2
3384652,2
3384653,2
3384654,2
3384655,2
3384656,2
3384657,2
3384658,2
3384659,2
3384660,2
3384661,2
3384662,2
3384663,2
3384664,2
3384665,2
3388969,2
3388970,2
3388971,2
3388972,2
3388973,2
3388974,2
3388975,2
3388976,2
3388977,2
3388978,2
3388979,2
3388980,2
3388981,2
3388982,2
3388983,2
3388984,2
3388985,2
3393291,2
3393292,2
3393293,2
3393294,2
3393295,2
3393296,2
3393297,2
3393298,2
3393299,2
3393300,2
3393301,2
3393302,2
3393303,2
3393304,2
3393305,2
3397612,2
3397613,2
3397614,2
3397615,2
3397616,2
3397617,2
3397618,2
3397619,2
3397620,2
3397621,2
3397622,2
3397623,2
3397624,2
3397625,2
3397626,2
3397627,2
3397628,2
3397629,2
3397630,2
3397631,2
3401934,2
3401935,2
3401936,2
3401937,2
3401938,2
3401939,2
3401940,2
3401941,2
3401942,2
3401943,2
3401944,2
3401945,2
3401946,2
3401947,2
3401948,2
3401949,2
3401950,2
3401951,2
3401952,2
3401953,2
3406255,2
3406256,2
3406257,2
3406258,2
3406259,2
3406260,2
3406261,2
3406262,2
3406263,2
3406264,2
3406265,2
3406266,2
3406267,2
3406268,2
3406269,2
3406270,2
3406271,2
3406272,2
3406273,2
3406274,2
3410576,2
3410577,2
3410578,2
3410579,2
3410580,2
3410581,2
3410582,2
3410583,2
3410584,2
3410585,2
3410586,2
3410591,2
3410592,2
3410593,2
3410594,2
3427882,5
3432202,5
3432203,5
3436523,5
3440843,5
3445163,5
3449483,5
3449484,5
3449485,5
3449486,5
3449487,5
3449488,5
3449489,5
3449490,5
3453804,5
3453805,5
3453806,5
3453807,5
3453808,5
3453809,5
3453810,5
3453811,5
3453812,5
3458124,5
3458125,5
3458126,5
3458127,5
3458128,5
3458129,5
3458130,5
3458131,5
3458132,5
3458133,5
3462443,5
3462444,5
3462445,5
3462446,5
3462447,5
3462448,5
3462449,5
3462450,5
3462451,5
3462452,5
3462453,5
3462454,5
3462455,5
3466764,5
3466765,5
3466766,5
3466767,5
3466768,5
3466769,5
3466770,5
3466771,5
3466772,5
3466773,5
3466774,5
3466775,5
3471084,5
3471085,5
3471086,5
3471087,5
3471088,5
3471089,5
3471090,5
3471091,5
3471092,5
3471093,5
3471094,5
3471095,5
3475404,5
3475405,5
3475406,5
3475407,5
3475408,5
3475409,5
3475410,5
3475411,5
3475412,5
3475413,5
3475414,5
3475415,5
3475416,5
3475417,5
3475418,5
3475419,5
3475420,5
3479724,5
3479725,5
3479726,5
3479727,5
