CELL5M,MSH_50K_ID
4391367,1
4391368,1
4391369,1
4391370,1
4395684,1
4395685,1
4395686,1
4395687,1
4395688,1
4395689,1
4395690,1
4400004,1
4400005,1
4400006,1
4400007,1
4400008,1
4400009,1
4400010,1
4404325,1
4404326,1
4404327,1
4404328,1
4404329,1
4404330,1
4408645,1
4408646,1
4408647,1
4408648,1
4408649,1
4408650,1
4408651,1
4412967,1
4412968,1
4412969,1
4412970,1
4412971,1
4417287,1
4417288,1
4417289,1
4417290,1
4417291,1
4417292,1
4421608,1
4421609,1
4421610,1
4421611,1
4425929,1
4425930,1
4430250,1
4434569,1
4434570,1
4313620,2
4317940,2
4317941,2
4322260,2
4322261,2
4322262,2
4326580,2
4326581,2
4326582,2
4326583,2
4330899,2
4330900,2
4330901,2
4330902,2
4330903,2
4335217,2
4335218,2
4335219,2
4335220,2
4335221,2
4335222,2
4339536,2
4339537,2
4339538,2
4339539,2
4339540,2
4339541,2
4343855,2
4343856,2
4343857,2
4343858,2
4343859,2
4343860,2
4343861,2
4348174,2
4348175,2
4348176,2
4348177,2
4348178,2
4348179,2
4348180,2
4348181,2
4352499,2
4352500,2
4352501,2
4356821,2
3510218,3
3510219,3
3510220,3
3510221,3
3514538,3
3514539,3
3514540,3
3514541,3
3518857,3
3518858,3
3518859,3
3518860,3
3518861,3
3523176,3
3523177,3
3523178,3
3523179,3
3523180,3
3523181,3
3527496,3
3527497,3
3527498,3
3527499,3
3527500,3
3527501,3
3527502,3
3527503,3
3527504,3
3527505,3
3527506,3
3527507,3
3527508,3
3527509,3
3531815,3
3531816,3
3531817,3
3531818,3
3531819,3
3531820,3
3531821,3
3531822,3
3531823,3
3531824,3
3531825,3
3531826,3
3531827,3
3531828,3
3531829,3
3531830,3
3531831,3
3536133,3
3536134,3
3536135,3
3536136,3
3536137,3
3536138,3
3536139,3
3536140,3
3536141,3
3536142,3
3536143,3
3536144,3
3536145,3
3536146,3
3536147,3
3536148,3
3536149,3
3536150,3
3536151,3
3536152,3
3536153,3
3540449,3
3540450,3
3540451,3
3540452,3
3540453,3
3540454,3
3540455,3
3540456,3
3540457,3
3540458,3
3540459,3
3540460,3
3540461,3
3540462,3
3540463,3
3540464,3
3540465,3
3540466,3
3540467,3
3540468,3
